sentence,entities,gt_relation,pred_relation,pred_edge,is_edge_test_contradictory,exec_time
The system as described above has its greatest application in an arrayed configuration of antenna elements.,"['configuration', 'elements']",3,-1,[],False,00:00:37
The child was carefully wrapped and bound into the cradle by means of a cord.,"['child', 'cradle']",18,-1,[],False,00:00:27
The author of a keygen uses a disassembler to look at the raw assembly code.,"['author', 'disassembler']",11,0,"('author', 'disassembler')",True,00:01:11
A misty ridge uprises from the surge.,"['ridge', 'surge']",18,1,"('surge', 'ridge')",False,00:00:28
The student association is the voice of the undergraduate student population of the State University of New York at Buffalo.,"['student', 'association']",12,0,"('student', 'association')",False,00:00:28
This is the sprawling complex that is Peru's largest producer of silver.,"['complex', 'producer']",18,0,"('complex', 'producer')",False,00:00:46
People have been moving back into downtown.,"['People', 'downtown']",6,0,"('People', 'downtown')",False,00:00:40
The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.,"['lawsonite', 'platinum crucible']",4,-1,[],False,00:00:27
The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial.,"['solvent', 'flask']",6,-1,[],False,00:00:42
The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career.,"['essays', 'volume']",12,0,"('essays', 'volume')",True,00:00:52
Their composer has sunk into oblivion.,"['composer', 'oblivion']",18,0,"('composer', 'oblivion')",False,00:00:40
The Pulitzer Committee issues an official citation explaining the reasons for the award.,"['citation', 'reasons']",14,1,"('reasons', 'citation')",False,00:00:32
Even commercial networks have moved into high-definition broadcast.,"['networks', 'high-definition broadcast']",11,0,"('networks', 'high-definition broadcast')",False,00:00:36
It was a friendly call to remind them about the bill and make sure they have a copy of the invoice.,"['call', 'bill']",14,1,"('bill', 'call')",False,00:00:34
"Texas-born virtuoso finds harmony, sophistication in Appalachian instrument.","['virtuoso', 'instrument']",11,-1,[],False,00:00:55
"The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers.","['factory', 'trays']",17,0,"('factory', 'trays')",False,00:00:32
The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley.,"['tree', 'blossom']",3,0,"('tree', 'blossom')",False,00:00:28
"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a battalion of Panzer grenadiers.","['battalion', 'grenadiers']",13,-1,[],False,00:00:49
"Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.","['knowledge', 'recruits']",8,1,"('recruits', 'knowledge')",False,00:00:26
She soon had a stable of her own rescued hounds.,"['stable', 'hounds']",13,1,"('hounds', 'stable')",True,00:00:55
His intellectually engaging books and essays remain pertinent to illuminating contemporary history.,"['essays', 'history']",18,-1,[],False,00:00:36
"Poor hygiene controls, reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.","['brace', 'grouse']",13,-1,[],False,00:00:24
"This sweet dress is made with a blend of cotton and silk, and the crochet flower necklace is the perfect accessory.","['dress', 'blend']",18,1,"('blend', 'dress')",False,00:00:27
"This article gives details on 2004 in music in the United Kingdom, including the official charts from that year.","['article', 'music']",14,1,"('music', 'article')",False,00:00:37
We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history.,"['meeting', 'rural history']",14,1,"('rural history', 'meeting')",False,00:00:34
"The timer of the device automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.","['timer', 'device']",2,-1,[],False,00:00:55
Bob Parks made a similar offer in a phone call made earlier this week.,"['offer', 'phone call']",15,1,"('phone call', 'offer')",False,00:00:24
The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country's founding father.,"['country', 'father']",16,-1,[],False,00:00:43
It describes a method for loading a horizontal stack of containers into a carton.,"['stack', 'carton']",6,-1,[],False,00:00:33
The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond.,"['plumbing', 'manor house']",2,1,"('manor house', 'plumbing')",True,00:01:07
