sentence,entities,gt_relation,pred_relation,pred_edge,exec_time
The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.,"['inflammation', 'infection']",1,1,"('infection', 'inflammation')",00:00:10
The burst has been caused by water hammer pressure.,"['burst', 'pressure']",1,1,"('pressure', 'burst')",00:00:08
"The singer, who performed three of the nominated songs, also caused a commotion on the red carpet.","['singer', 'commotion']",0,0,"('singer', 'commotion')",00:00:10
"Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.","['Suicide', 'death']",0,0,"('Suicide', 'death')",00:00:14
He had chest pains and headaches from mold in the bedrooms.,"['headaches', 'mold']",1,1,"('mold', 'headaches')",00:00:13
Financial stress is one of the main causes of divorce.,"['stress', 'divorce']",0,0,"('stress', 'divorce')",00:00:11
The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.,"['women', 'accident']",0,0,"('women', 'accident')",00:00:09
Calluses are caused by improperly fitting shoes or by a skin abnormality.,"['Calluses', 'skin abnormality']",1,1,"('skin abnormality', 'Calluses')",00:00:11
"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle.","['meteor shower', 'comet']",1,1,"('comet', 'meteor shower')",00:00:09
The radiation from the atomic bomb explosion is a typical acute radiation.,"['radiation', 'bomb explosion']",1,1,"('bomb explosion', 'radiation')",00:00:10
A neoplastic recurrence arose from an extensive radiation induced ulceration.,"['recurrence', 'radiation']",1,1,"('radiation', 'recurrence')",00:00:17
He has a tattoo on his right arm and scars from stitches on his right elbow.,"['scars', 'stitches']",1,1,"('stitches', 'scars')",00:00:11
The continuing Nigerian outbreak is the biggest ever caused by the vaccine.,"['outbreak', 'vaccine']",1,1,"('vaccine', 'outbreak')",00:00:11
The fire inside WTC was caused by exploding fuel.,"['fire', 'fuel']",1,1,"('fuel', 'fire')",00:00:09
The suffering caused by the terrorists is the real torture.,"['suffering', 'terrorists']",1,1,"('terrorists', 'suffering')",00:00:11
"In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.","['tsunami', 'band']",1,1,"('band', 'tsunami')",00:00:12
Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.,"['Leakage', 'corrosion']",1,1,"('corrosion', 'Leakage')",00:00:12
The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.,"['ball', 'noise']",0,0,"('ball', 'noise')",00:00:10
Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.,"['damage', 'earthquake']",1,1,"('earthquake', 'damage')",00:00:11
"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers.","['suffering', 'officers']",1,1,"('officers', 'suffering')",00:00:20
The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.,"['recession', 'crash']",1,1,"('crash', 'recession')",00:00:10
"Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells.","['swelling', 'infection']",1,1,"('infection', 'swelling')",00:00:10
