sentence,relation,entities,sentence_no_tags
The system as described above has its greatest application in an arrayed <e1>configuration</e1> of antenna <e2>elements</e2>.,3,"['configuration', 'elements']",The system as described above has its greatest application in an arrayed configuration of antenna elements.
The <e1>child</e1> was carefully wrapped and bound into the <e2>cradle</e2> by means of a cord.,18,"['child', 'cradle']",The child was carefully wrapped and bound into the cradle by means of a cord.
The <e1>author</e1> of a keygen uses a <e2>disassembler</e2> to look at the raw assembly code.,11,"['author', 'disassembler']",The author of a keygen uses a disassembler to look at the raw assembly code.
A misty <e1>ridge</e1> uprises from the <e2>surge</e2>.,18,"['ridge', 'surge']",A misty ridge uprises from the surge.
The <e1>student</e1> <e2>association</e2> is the voice of the undergraduate student population of the State University of New York at Buffalo.,12,"['student', 'association']",The student association is the voice of the undergraduate student population of the State University of New York at Buffalo.
This is the sprawling <e1>complex</e1> that is Peru's largest <e2>producer</e2> of silver.,18,"['complex', 'producer']",This is the sprawling complex that is Peru's largest producer of silver.
The current view is that the chronic <e1>inflammation</e1> in the distal part of the stomach caused by Helicobacter pylori <e2>infection</e2> results in an increased acid production from the non-infected upper corpus region of the stomach.,1,"['inflammation', 'infection']",The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.
<e1>People</e1> have been moving back into <e2>downtown</e2>.,6,"['People', 'downtown']",People have been moving back into downtown.
The <e1>lawsonite</e1> was contained in a <e2>platinum crucible</e2> and the counter-weight was a plastic crucible with metal pieces.,4,"['lawsonite', 'platinum crucible']",The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.
The solute was placed inside a beaker and 5 mL of the <e1>solvent</e1> was pipetted into a 25 mL glass <e2>flask</e2> for each trial.,6,"['solvent', 'flask']",The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial.
The fifty <e1>essays</e1> collected in this <e2>volume</e2> testify to most of the prominent themes from Professor Quispel's scholarly career.,12,"['essays', 'volume']",The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career.
Their <e1>composer</e1> has sunk into <e2>oblivion</e2>.,18,"['composer', 'oblivion']",Their composer has sunk into oblivion.
The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award.,14,"['citation', 'reasons']",The Pulitzer Committee issues an official citation explaining the reasons for the award.
The <e1>burst</e1> has been caused by water hammer <e2>pressure</e2>.,1,"['burst', 'pressure']",The burst has been caused by water hammer pressure.
Even commercial <e1>networks</e1> have moved into <e2>high-definition broadcast</e2>.,11,"['networks', 'high-definition broadcast']",Even commercial networks have moved into high-definition broadcast.
It was a friendly <e1>call</e1> to remind them about the <e2>bill</e2> and make sure they have a copy of the invoice.,14,"['call', 'bill']",It was a friendly call to remind them about the bill and make sure they have a copy of the invoice.
"Texas-born <e1>virtuoso</e1> finds harmony, sophistication in Appalachian <e2>instrument</e2>.",11,"['virtuoso', 'instrument']","Texas-born virtuoso finds harmony, sophistication in Appalachian instrument."
"The <e1>factory</e1>'s products have included flower pots, Finnish rooster-whistles, pans, <e2>trays</e2>, tea pots, ash trays and air moisturisers.",17,"['factory', 'trays']","The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers."
The girl showed a photo of apple <e1>tree</e1> <e2>blossom</e2> on a fruit tree in the Central Valley.,3,"['tree', 'blossom']",The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley.
"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a <e1>battalion</e1> of Panzer <e2>grenadiers</e2>.",13,"['battalion', 'grenadiers']","They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a battalion of Panzer grenadiers."
"Their <e1>knowledge</e1> of the power and rank symbols of the Continental empires was gained from the numerous Germanic <e2>recruits</e2> in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.",8,"['knowledge', 'recruits']","Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces."
She soon had a <e1>stable</e1> of her own rescued <e2>hounds</e2>.,13,"['stable', 'hounds']",She soon had a stable of her own rescued hounds.
"The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.",0,"['singer', 'commotion']","The singer, who performed three of the nominated songs, also caused a commotion on the red carpet."
His intellectually engaging books and <e1>essays</e1> remain pertinent to illuminating contemporary <e2>history</e2>.,18,"['essays', 'history']",His intellectually engaging books and essays remain pertinent to illuminating contemporary history.
"Poor hygiene controls, reports of a <e1>brace</e1> of gamey <e2>grouse</e2> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.",13,"['brace', 'grouse']","Poor hygiene controls, reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption."
"This sweet <e1>dress</e1> is made with a <e2>blend</e2> of cotton and silk, and the crochet flower necklace is the perfect accessory.",18,"['dress', 'blend']","This sweet dress is made with a blend of cotton and silk, and the crochet flower necklace is the perfect accessory."
"<e1>Suicide</e1> is one of the leading causes of <e2>death</e2> among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.",0,"['Suicide', 'death']","Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide."
